id,barcode,name,spec,unit,price,brand,supplier,made_in,discount,inventory,expiration_data,product_location
77,6911988009760,好吃点香脆杏仁饼108g,108克,包,4.0,好吃点,达利食品集团有限公司,福建,1.0,31,2027-09-12,D
78,6911988009777,108克好吃点香脆腰果饼,108g,包,3.3,达利园,达利食品集团有限公司,福建,1.0,32,2027-01-21,F
79,6911988009784,好吃点香脆核桃饼,108克,包,5.0,达利,达利食品集团有限公司,福建,1.0,50,2027-09-14,B
80,6911988010933,198g金麦圈椰蓉味,165*300*50,包,6.0,达利园,达利食品集团有限公司,福建,1.0,35,2027-05-31,E
81,6911988011619,达利园法式小面包香奶味400克,400克,包,22.0,达利园,达利食品集团有限公司,福建,1.0,32,2027-06-04,E
82,6911988013217,105克可比克薯片孜然串烧味,kg,桶,8.9,福建省达利食品集团有限公司,达利食品集团有限公司,福建,0.8,49,2026-12-14,G
83,6911988013262,45克可比克薯片韩式泡菜味,kg,桶,3.8,福建省达利食品集团有限公司,达利食品集团有限公司,福建,0.8,34,2027-05-27,H
84,6911988013538,160克枚达利园瑞士卷草莓味,160克,包,5.9,160克达利园瑞士卷草莓味,达利食品集团有限公司,福建,1.0,27,2027-08-28,C
85,6911988013613,240克达利园瑞士卷草莓味,240克,袋,19.0,240克达利园瑞士卷草莓味,达利食品集团有限公司,福建,1.0,27,2026-12-15,B
86,6911988013644,瑞士卷香蕉风味240g,240克,袋,29.0,达利园,达利食品集团有限公司,福建,1.0,45,2027-05-01,H
87,6911988014832,达利园香奶味软面包200克,200克,包,7.0,达利园,达利食品集团有限公司,福建,1.0,43,2027-06-08,B
88,6906303000409,十三香调味品,长方体包装,包,9.0,王守义十三香,驻马店市王守义十三香调味品集团有限公司,驻马店,1.0,42,2027-04-10,H
89,6906303004469,王守义炖肉料24克内装2小包,24克,包,3.0,王守义,驻马店市王守义十三香调味品集团有限公司,驻马店,1.0,47,2026-10-03,E
90,6906303004476,王守义花椒粉,20克/袋,包,3.8,王守义十三香,驻马店市王守义十三香调味品集团有限公司,驻马店,1.0,34,2027-05-21,G
91,6906303004544,24g十三香炖鸡料,24克（内含2小包）,袋,3.0,王守义,驻马店市王守义十三香调味品集团有限公司,驻马店,0.9,23,2027-09-27,F
92,6906303004551,王守义金装炖鱼料24g,*1/件,袋,3.0,王守义,驻马店市王守义十三香调味品集团有限公司,驻马店,1.0,47,2027-03-31,B
93,6906303004568,王守义包子饺子料调味料35克,35克,包,3.8,王守义,驻马店市王守义十三香调味品集团有限公司,驻马店,1.0,44,2026-12-30,D
94,6906303004582,王守义孜然调料粉,35克,包,3.0,王守义,驻马店市王守义十三香调味品集团有限公司,驻马店,1.0,24,2027-09-18,C
95,6906303004612,王守义白胡椒粉,25克/袋,包,4.2,王守义十三香,驻马店市王守义十三香调味品集团有限公司,驻马店,0.9,41,2027-09-19,B
96,6921804700788,老干妈辣三丁油辣椒,280g,瓶,11.0,老干妈,贵阳南明老干妈风味食品有限责任公司,贵州,1.0,29,2026-09-16,C
97,6921804700795,风味鸡油辣椒,280克/瓶,瓶,12.5,陶华碧老干妈,贵阳南明老干妈风味食品有限责任公司,贵州,1.0,44,2027-03-07,A
98,6921899990590,富光新动感太空杯3型 容量500ml,500ML,个,8.9,富光,安徽省富光实业股份有限公司,安微,1.0,31,2027-08-13,D
99,6921899990606,富光新动感太空杯3型,600ML,个,19.9,富光,安徽省富光实业股份有限公司,安微,1.0,45,2027-02-05,B
100,6922130101034,太太乐鸡精调味料100克,100克,包,5.0,太太乐,上海太太乐食品有限公司,上海,1.0,20,2027-06-24,H
101,6922130101485,太太乐200g三鲜鸡精调味料,200g,包,11.55,太太乐,上海太太乐食品有限公司,上海,1.0,39,2026-10-13,D
102,6922165900138,山西特产老陈醋 紫林陈醋 二年陈酿(820ML/壶),820ml/瓶,瓶,7.5,紫林,山西紫林醋业股份有限公司,山西,1.0,41,2027-03-29,G
103,6922165925438,紫林白米醋酿造食醋820ml 山西醋 紫林陈醋山西特产无添加剂厨房调料,820ml,毫升,6.0,紫林,山西紫林醋业股份有限公司,山西,1.0,27,2027-09-18,E
104,6922190600515,奥妙净蓝全效无磷洗衣粉,1.1千克,包,11.7,OMO奥妙,联合利华(中国)有限公司,安微,1.0,30,2026-09-09,B
105,6922448819447,迪彩 东方抗枯法则 防干枯 丝质柔亮 护发素 400g,400g/瓶,瓶,11.9,迪彩,广州市迪彩化妆品有限公司,广东,1.0,47,2027-05-29,F
106,6934004601465,乐源果粒橙 复合果汁饮料（2.5L）,圆形瓶,桶,11.8,乐源,浙江乐源生物工程有限公司,浙江,1.0,41,2026-12-31,H
107,6934004601472,乐源果粒橙复合果汁饮料,2.5L×6,件,6.5,乐源,浙江乐源生物工程有限公司,浙江,1.0,47,2026-11-04,C
108,6934024515605,纯果乐鲜果粒甜橙味120ml,420ml/瓶,瓶,3.5,康师傅,百事饮料(广州)有限公司,天津,1.0,45,2027-03-16,H
109,6934024515803,果缤纷柠爽萄醉味复合果汁饮料,(450+50)毫升,瓶,2.9,纯果乐,百事饮料(广州)有限公司,广东,1.0,22,2027-07-30,H
110,6934024515841,果缤纷柠爽葡萄醉美味450ml,500mL(450mL+50mL) ×1,件,40.0,果缤纷,百事饮料(广州)有限公司,广东,1.0,47,2027-08-08,D
111,6934024515902,果缤纷蜜桃樱桃味复合果汁饮料,(450+50)毫升,件,3.0,纯果乐,百事饮料(广州)有限公司,江苏,1.0,27,2026-12-20,D
112,6934034500073,蔬菜卷,20g,包,38.9,泰美,泰美(郑州)食品有限公司,郑州,1.0,40,2027-09-08,H
113,6934278800724,皂缸,皂缸,个,5.0,泰禾,台州市黄岩泰禾塑料厂,台州,1.0,42,2027-09-07,B
114,6934284613233,李大厨酱肉味调味料,302g,包,5.9,李大厨,平顶山市李大厨食品有限公司,平顶山,1.0,21,2027-03-26,F
115,6903148051658,OLAY美白清爽沐浴香皂125G,125G,块,6.6,玉兰油,广州宝洁有限公司,广州,1.0,36,2027-03-30,C
116,6903148054215,120g佳洁士双效炫白牙膏6,120G/支,支,9.5,佳洁士,广州宝洁有限公司,广州,1.0,26,2027-09-20,F
117,6903148075371,佳洁士珍珠盐白牙膏（柠檬清新）90克,90G,支,5.5,佳洁士,广州宝洁有限公司,广州,1.0,43,2027-06-22,B
118,6903148078907,汰渍净白去渍洗衣粉1.36千克,1360G,包,12.0,汰渍,广州宝洁有限公司,广州,1.0,28,2027-04-20,H
119,6903148078921,汰渍 洗衣粉 净白去渍(柠檬清新型)260克/袋 去油渍,260G/袋,包,2.5,汰渍,广州宝洁有限公司,广州,1.0,36,2027-09-06,C
120,6903148079003,碧浪专业去渍无磷洗衣粉(清雅茉莉)1.7kg,1700G,包,20.5,碧浪,广州宝洁有限公司,广州,1.0,28,2026-09-26,H
121,6903148080948,125g玉兰油香皂(美白滋润),125G/块,块,5.5,玉兰油,广州宝洁有限公司,广州,0.9,20,2026-11-22,H
122,6903148082102,舒肤佳纯白清香型沐浴露200毫升,200ML,瓶,13.0,舒肤佳,广州宝洁有限公司,天津,0.9,38,2027-06-22,H
123,6903148091432,乳液修复洗发露400ml,400ml,瓶,35.0,潘婷,广州宝洁有限公司,广州,0.9,36,2027-03-04,D
124,6903148091470,潘婷丝质顺滑洗发露400ml,400ml,瓶,35.0,潘婷,广州宝洁有限公司,广州,1.0,49,2026-12-07,F
125,6903148091654,舒肤佳纯白清香型香皂125g,125G/块,块,5.6,舒肤佳,广州宝洁有限公司,广州,1.0,34,2026-11-23,E
126,6903148115077,飘柔精华护理滋润去屑500ML,500ML,瓶,27.9,飘柔,广州宝洁有限公司,广东,1.0,28,2027-09-15,H
127,6903148115084,飘柔焗油护理洗发露,500ml/瓶,瓶,27.9,飘柔,广州宝洁有限公司,广东,1.0,20,2027-08-01,F
128,6903148116975,汰渍全效360°洁净无磷洗衣粉1.65kg,1.65kg/包,包,16.0,汰渍,广州宝洁有限公司,广州,0.9,47,2026-09-23,B
129,6903252714036,康师傅丰盛经典红烧牛肉开心桶面,单桶,桶,4.6,康师傅,天津顶益食品有限公司,天津,1.0,47,2027-01-12,D
130,6904417100558,南街村武汉风味热干面（香辣味）面饼+配料262克,262克,盒,7.48,南街村,河南省南街村(集团)有限公司,郑州,1.0,35,2026-11-17,A
131,6904417100664,湿面（麻酱凉面）,盒装248克,盒,4.6,南街村,河南省南街村(集团)有限公司,南街村,1.0,32,2027-03-25,H
132,6906303888885,王守义十三香调味料,45g,盒,2.8,王守义,驻马店市王守义十三香调味品集团有限公司,驻马店,1.0,28,2027-06-13,B
133,6906839615757,旺旺维多粒果冻爽（粒粒橙味）,150g,包,2.2,旺旺,南京旺旺食品有限公司,北京,1.0,29,2027-05-07,E
134,6906839615764,旺旺维多粒果冻爽（粒粒桃味）,150g,包,2.2,旺旺,南京旺旺食品有限公司,北京,1.0,28,2027-05-24,A
135,6906839615788,旺旺维多粒菠萝味可吸果冻,150克/袋,袋,2.2,旺旺,南京旺旺食品有限公司,福建,1.0,35,2027-09-08,C
136,6907376500308,强生婴儿牛奶润肤皂125克,125克,块,7.0,强生婴儿,强生(中国)有限公司,上海,1.0,42,2027-03-22,F
137,6907376500926,强生婴儿热痱粉,100克,盒,12.0,强生,强生(中国)有限公司,上海,1.0,39,2027-01-19,F
138,6907435661544,好迪精华素焗油洗发水（柔亮焕彩）,400ml,瓶,22.0,好迪精华素,广州好迪集团有限公司,广东,1.0,40,2027-06-27,B
139,6907435666785,好迪精华素营养洗发水（滋润养护）,400ml,瓶,25.99,好迪精华素,广州好迪集团有限公司,广东,1.0,26,2026-09-14,B
140,6907435666983,好迪精华素保湿定型啫喱水（活力养护）,140ml,瓶,12.0,好迪,广州好迪集团有限公司,广州,1.0,40,2027-05-03,C
141,6907435666990,好迪精华素保湿定型啫喱水（持久造型）,140ml,瓶,12.0,好迪,广州好迪集团有限公司,广州,0.8,20,2027-09-28,D
142,6907435668758,好迪精华素亮发啫喱（亮泽养护）,200g,瓶,12.0,好迪精华素,广州好迪集团有限公司,广东,1.0,48,2027-09-03,A
143,6907435668772,150g好迪啫喱膏高弹保湿(绿色),150ml/瓶,瓶,12.0,好迪,广州好迪集团有限公司,广州,1.0,28,2027-03-26,A
144,6920547827271,美王香果萃柔顺去屑洗发露-滋润柔亮,400g,瓶,15.0,美王,名臣健康用品股份有限公司,广东,1.0,46,2027-05-01,H
145,6920547852440,500g倍效洗手液(清爽抑菌),500g,瓶,11.5,蒂花之秀,名臣健康用品股份有限公司,广东,1.0,36,2027-07-09,G
146,6920547852556,特效去屑洗发露(焗油精华),400G/瓶,瓶,18.0,蒂花之秀,名臣健康用品股份有限公司,广东,1.0,23,2027-03-08,C
147,6920547852570,400g新倍效去屑洗发露[顺爽止痒],400g,瓶,18.0,蒂花之秀,名臣健康用品股份有限公司,广东,0.9,20,2027-02-03,G
148,6920547852587,400g新倍效去屑洗发露（滋养乌发）,400g,瓶,18.0,蒂花之秀,名臣健康用品股份有限公司,广东,1.0,21,2026-10-23,H
149,6920547853034,蒂花之秀倍效护发精华素〔多效修护型〕 500ml,500G/瓶,瓶,6.5,蒂花之秀,名臣健康用品股份有限公司,广东,1.0,35,2027-04-15,B
150,6920547854420,蒂花之秀倍效去屑洗发露〔水润莹亮〕400g,400g,瓶,18.0,蒂花之秀,名臣健康用品股份有限公司,广东,0.8,27,2027-08-07,A
151,6920547857001,300g新倍效弹力素（柔韧护卷）,300g,瓶,13.0,蒂花之秀,名臣健康用品股份有限公司,广东,1.0,24,2027-08-16,C
152,6920547857018,蒂花之秀倍效弹力素〔清爽自然〕300g,300g,瓶,13.0,蒂花之秀,名臣健康用品股份有限公司,广东,1.0,24,2027-05-18,F
153,6920658284277,旺旺果粒多果汁饮料,300ml,包,3.6,旺旺,南京福旺食品有限公司,江苏,1.0,29,2026-12-10,A
154,6920658284284,旺旺果粒多果汁饮料,300ml,包,4.5,旺旺,南京福旺食品有限公司,江苏,0.9,33,2027-07-13,E
155,6920761200058,500ml特级草菇老抽,500ml,瓶,7.2,加加,加加食品集团股份有限公司,郑州,1.0,43,2026-11-24,E
156,6920761200133,加加老抽王酱油,800ml,壶,6.5,加加,加加食品集团股份有限公司,郑州,0.9,38,2026-11-09,H
157,6920761200225,500ml草菇老抽,500ml,瓶,7.2,加加,加加食品集团股份有限公司,郑州,1.0,25,2027-05-04,H
158,6920761200232,加加金标生抽,500ml,瓶,7.8,加加,加加食品集团股份有限公司,郑州,1.0,26,2027-02-18,A
159,6942717701839,和其正凉茶(植物饮料)550ml,550ml,瓶,4.0,达利园,湖北达利食品有限公司,湖北,1.0,50,2027-05-22,F
160,6926718445077,香辣火锅蘸料,180g,袋,6.0,草原红太阳,内蒙古红太阳食品有限公司,内蒙古,1.0,49,2026-11-30,A
161,6926718490213,涮牛羊微辣香汤,200g,袋,6.6,草原红太阳,内蒙古红太阳食品有限公司,内蒙古,1.0,31,2026-10-03,B
162,6926718495188,涮牛羊美味清汤,200g,袋,9.02,草原红太阳,内蒙古红太阳食品有限公司,内蒙古,1.0,30,2027-08-15,G
163,6926718495195,草原红太阳涮牛羊红油辣汤200g（汤料175g+粉料25g),200g（汤料175g+粉料25g),袋,5.9,草原红太阳,内蒙古红太阳食品有限公司,内蒙古,1.0,38,2027-08-17,C
164,6926718495416,自然草本微辣香汤火锅底料,208g,袋,12.8,草原红太阳,内蒙古红太阳食品有限公司,内蒙古,1.0,32,2027-04-19,E
165,6926718495492,草原红太阳火锅底料三鲜150g,150g,袋,6.3,草原红太阳,内蒙古红太阳食品有限公司,内蒙古,1.0,28,2027-06-03,B
166,6926718495546,麻辣火锅底料,150G,袋,6.93,草原红太阳,内蒙古红太阳食品有限公司,内蒙古,1.0,45,2027-09-23,D
167,6926718495584,美味火锅蘸料,160g,碗,5.8,草原红太阳,内蒙古红太阳食品有限公司,内蒙古,0.9,45,2026-09-18,F
168,6935936110728,爱得利带柄自动PP奶瓶120ML A67,标准商品/只,个,32.8,爱得利,厦门帝尔特企业有限公司,台州,1.0,48,2027-05-26,G
169,6935936140732,爱得利F52吸管学饮杯160ML 学饮杯 练习杯 训练杯,1Pcs/个,瓶,27.9,爱得利,厦门帝尔特企业有限公司,厦门,0.8,35,2027-03-20,C
170,6936003512414,旺仔牛奶糖_原味,15g,包,1.0,旺仔,广州立旺食品有限公司,河南,1.0,46,2027-06-04,D
171,6936014551501,兰卓丽蜜桃芳香去死皮,310ml,瓶,18.2,兰卓丽,深圳市姿逸化妆品有限公司,深圳,1.0,48,2027-02-17,F
172,6936891520652,添乐卡通王奥特曼长棒饼干 50g 海苔味(大福源超市直供),50克,盒,5.0,添乐卡通王,上海添乐卡通食品销售发展有限公司,广州,1.0,37,2027-08-13,G
173,6909409012017,鲜虾条,40克,包,3.5,上好佳,上好佳(中国)有限公司,郑州,1.0,25,2027-02-06,G
174,6909409023020,鲜虾片,12克,包,1.0,上好佳 Oishi,上好佳(中国)有限公司,河南,1.0,34,2027-01-21,F
175,6909409039793,洋葱圈,15g,包,1.2,上好佳 Oishi,上好佳(中国)有限公司,河南,1.0,50,2027-06-14,H
176,6909409040799,洋葱圈,40g,包,3.3,上好佳 Oishi,上好佳(中国)有限公司,郑州,1.0,21,2027-09-07,E
177,6909995113457,旺旺小小酥黑胡椒味20克,20克,包,1.0,旺旺,杭州旺旺食品有限公司,河南,1.0,40,2026-12-16,G
178,6910019001841,雕牌全效洗洁精,500克,瓶,4.8,雕牌,纳爱斯集团有限公司,四川,1.0,31,2026-12-04,F
179,6910019001971,628g雕牌天然皂粉,628克,包,8.2,雕牌,纳爱斯集团有限公司,浙江,1.0,48,2027-05-20,B
180,6910019002701,纳爱斯齿爽绿风牙膏95g,95g/组,支,9.0,纳爱斯,纳爱斯集团有限公司,浙江,1.0,47,2027-06-23,D
181,6910019002718,纳爱斯牙膏齿乐脱敏 95g 美白 清新口气,95g,支,8.0,纳爱斯,纳爱斯集团有限公司,浙江,0.9,32,2027-01-08,E
182,6910019003630,纳爱斯柠檬绿茶牙膏,90g,支,4.1,纳爱斯,纳爱斯集团有限公司,浙江,1.0,42,2027-06-20,C
183,6910019004408,纳爱斯伢牙乐儿童牙膏,40克,支,5.9,纳爱斯,纳爱斯集团有限公司,浙江,0.9,34,2026-11-09,F
184,6910019004415,纳爱斯伢牙乐儿童牙膏/宝宝牙膏/牙膏 儿童营养牙膏香香哈密味40g,40g（盒）,支,7.0,纳爱斯,纳爱斯集团有限公司,浙江,1.0,41,2026-12-11,A
185,6910019005146,纳爱斯钻闪白牙膏95g,95g,盒,12.0,纳爱斯,纳爱斯集团有限公司,浙江,1.0,27,2027-05-03,E
