id,name,spec,unit,price,brand,discount,inventory,expiration_data,product_location
142,好迪精华素亮发啫喱（亮泽养护）,200g,瓶,12.0,好迪精华素,1.0,48,2027-09-03,A
143,150g好迪啫喱膏高弹保湿(绿色),150ml/瓶,瓶,12.0,好迪,1.0,28,2027-03-26,A
144,美王香果萃柔顺去屑洗发露-滋润柔亮,400g,瓶,15.0,美王,1.0,46,2027-05-01,H
145,500g倍效洗手液(清爽抑菌),500g,瓶,11.5,蒂花之秀,1.0,36,2027-07-09,G
146,特效去屑洗发露(焗油精华),400G/瓶,瓶,18.0,蒂花之秀,1.0,23,2027-03-08,C
147,400g新倍效去屑洗发露[顺爽止痒],400g,瓶,18.0,蒂花之秀,0.9,20,2027-02-03,G
148,400g新倍效去屑洗发露（滋养乌发）,400g,瓶,18.0,蒂花之秀,1.0,21,2026-10-23,H
149,蒂花之秀倍效护发精华素〔多效修护型〕 500ml,500G/瓶,瓶,6.5,蒂花之秀,1.0,35,2027-04-15,B
150,蒂花之秀倍效去屑洗发露〔水润莹亮〕400g,400g,瓶,18.0,蒂花之秀,0.8,27,2027-08-07,A
151,300g新倍效弹力素（柔韧护卷）,300g,瓶,13.0,蒂花之秀,1.0,24,2027-08-16,C
152,蒂花之秀倍效弹力素〔清爽自然〕300g,300g,瓶,13.0,蒂花之秀,1.0,24,2027-05-18,F
153,旺旺果粒多果汁饮料,300ml,包,3.6,旺旺,1.0,29,2026-12-10,A
154,旺旺果粒多果汁饮料,300ml,包,4.5,旺旺,0.9,33,2027-07-13,E
155,500ml特级草菇老抽,500ml,瓶,7.2,加加,1.0,43,2026-11-24,E
156,加加老抽王酱油,800ml,壶,6.5,加加,0.9,38,2026-11-09,H
157,500ml草菇老抽,500ml,瓶,7.2,加加,1.0,25,2027-05-04,H
158,加加金标生抽,500ml,瓶,7.8,加加,1.0,26,2027-02-18,A
159,和其正凉茶(植物饮料)550ml,550ml,瓶,4.0,达利园,1.0,50,2027-05-22,F
160,香辣火锅蘸料,180g,袋,6.0,草原红太阳,1.0,49,2026-11-30,A
161,涮牛羊微辣香汤,200g,袋,6.6,草原红太阳,1.0,31,2026-10-03,B
162,涮牛羊美味清汤,200g,袋,9.02,草原红太阳,1.0,30,2027-08-15,G
163,草原红太阳涮牛羊红油辣汤200g（汤料175g+粉料25g),200g（汤料175g+粉料25g),袋,5.9,草原红太阳,1.0,38,2027-08-17,C
164,自然草本微辣香汤火锅底料,208g,袋,12.8,草原红太阳,1.0,32,2027-04-19,E
165,草原红太阳火锅底料三鲜150g,150g,袋,6.3,草原红太阳,1.0,28,2027-06-03,B
166,麻辣火锅底料,150G,袋,6.93,草原红太阳,1.0,45,2027-09-23,D
167,美味火锅蘸料,160g,碗,5.8,草原红太阳,0.9,45,2026-09-18,F
168,爱得利带柄自动PP奶瓶120ML A67,标准商品/只,个,32.8,爱得利,1.0,48,2027-05-26,G
169,爱得利F52吸管学饮杯160ML 学饮杯 练习杯 训练杯,1Pcs/个,瓶,27.9,爱得利,0.8,35,2027-03-20,C
170,旺仔牛奶糖_原味,15g,包,1.0,旺仔,1.0,46,2027-06-04,D
171,兰卓丽蜜桃芳香去死皮,310ml,瓶,18.2,兰卓丽,1.0,48,2027-02-17,F
172,添乐卡通王奥特曼长棒饼干 50g 海苔味(大福源超市直供),50克,盒,5.0,添乐卡通王,1.0,37,2027-08-13,G
173,鲜虾条,40克,包,3.5,上好佳,1.0,25,2027-02-06,G
174,鲜虾片,12克,包,1.0,上好佳 Oishi,1.0,34,2027-01-21,F
175,洋葱圈,15g,包,1.2,上好佳 Oishi,1.0,50,2027-06-14,H
176,洋葱圈,40g,包,3.3,上好佳 Oishi,1.0,21,2027-09-07,E
177,旺旺小小酥黑胡椒味20克,20克,包,1.0,旺旺,1.0,40,2026-12-16,G
178,雕牌全效洗洁精,500克,瓶,4.8,雕牌,1.0,31,2026-12-04,F
179,628g雕牌天然皂粉,628克,包,8.2,雕牌,1.0,48,2027-05-20,B
180,纳爱斯齿爽绿风牙膏95g,95g/组,支,9.0,纳爱斯,1.0,47,2027-06-23,D
181,纳爱斯牙膏齿乐脱敏 95g 美白 清新口气,95g,支,8.0,纳爱斯,0.9,32,2027-01-08,E
182,纳爱斯柠檬绿茶牙膏,90g,支,4.1,纳爱斯,1.0,42,2027-06-20,C
183,纳爱斯伢牙乐儿童牙膏,40克,支,5.9,纳爱斯,0.9,34,2026-11-09,F
184,纳爱斯伢牙乐儿童牙膏/宝宝牙膏/牙膏 儿童营养牙膏香香哈密味40g,40g（盒）,支,7.0,纳爱斯,1.0,41,2026-12-11,A
185,纳爱斯钻闪白牙膏95g,95g,盒,12.0,纳爱斯,1.0,27,2027-05-03,E
186,纳爱斯牙刷适齿防滑（YS104）,单支装,个,5.3,纳爱斯,1.0,21,2027-02-26,C
187,纳爱斯牙刷纤丝爽洁（YS105）,单支装,支,4.6,纳爱斯,1.0,21,2027-08-28,H
188,1360g雕牌超白加香无磷洗衣粉,1.36kg,包,13.0,雕牌,1.0,46,2026-12-30,E
189,超能天然皂粉,680克,包,11.5,超能,1.0,46,2026-11-19,H
190,雕牌 焕彩植物皂 232g,232g,块,4.4,雕牌,1.0,24,2026-10-01,A
191,超能去渍护纤维双离子洗衣液[1.5Kg],1500g/1500g,包,44.8,超能,1.0,50,2027-05-14,C
192,218g雕牌增白洗衣皂,218g,块,4.2,雕牌,1.0,47,2027-06-20,A
193,奥利奥草莓夹心饼干 130g/盒,130g/130g,包,26.0,奥利奥,1.0,41,2027-04-19,A
194,奥利奥130G夹心巧克力,130g/130g,包,19.0,奥利奥,1.0,26,2027-09-18,F
195,奥利奥轻甜夹心饼干巧克力味130g,130g/130g,包,19.0,奥利奥,1.0,26,2026-10-31,G
196,南孚碱性电池,7号LR03 5×1B 单粒可撕,个,2.5,南孚,1.0,46,2027-03-25,A
197,南孚碱性电池,5号  5粒装 LR6-5×1B/1.5,包,2.9,南孚,1.0,39,2027-02-15,E
198,蓝月亮野菊花清爽洗手液Hand Wash500g,500g,瓶,15.7,蓝月亮,1.0,32,2027-06-29,D
199,娃哈哈爽歪歪营养酸奶饮品,200g,瓶,7.6,娃哈哈,1.0,48,2027-02-24,G
200,娃哈哈爽歪歪营养酸奶饮品,200g×24瓶,件,46.0,娃哈哈,1.0,31,2027-02-23,H
201,娃哈哈营养快线水果酸奶饮品（椰子味）,500g,瓶,4.0,娃哈哈,1.0,21,2027-07-18,H
202,娃哈哈营养快线水果酸奶饮品（椰子味）,500g*15瓶,件,55.0,娃哈哈,0.8,31,2027-09-12,H
203,福泰隆力士 白皙焕柔香皂125g热销,125g/125g,快,4.2,力士,1.0,33,2027-04-12,D
204,中華魔丽迅白酷爽薄荷味牙膏,100克/支,支,10.5,中華,1.0,50,2027-08-22,G
205,冷酸灵冰柠劲爽双重抗敏感牙膏110克,200*45*38,支,7.59,冷酸灵,1.0,40,2027-09-04,E
206,冷酸灵抗敏感牙膏,130g,盒,3.5,冷酸灵,1.0,26,2027-04-21,A
207,今麦郎冰红茶（箱）,1*15瓶,件,38.0,今麦郎,1.0,28,2027-03-21,C
208,今麦郎冰红茶,500ml,瓶,3.6,今麦郎,1.0,41,2027-01-30,B
209,黑人茶倍健牙膏90g,支,支,8.5,黑人牙膏,1.0,21,2027-06-08,E
210,245克*12糖水草莓罐头,245克*12瓶,件,55.0,家家红,1.0,21,2026-09-29,B
211,舒服佳超强低缩澡巾,30*20（cm）   800条/一件,条,25.2,舒服佳,1.0,44,2027-08-03,E
212,采诗120g珍珠美白洁面乳,支,支,16.8,采诗,1.0,22,2027-01-29,D
213,120g新采诗洁面乳(果酸美白),瓶,支,21.0,采诗,1.0,39,2027-03-10,F
214,70g盼盼金虾条,70克,包,2.0,盼盼,0.7,39,2026-11-01,H
215,大红袍中国红红汤火锅底料,400克,袋,13.9,大红袍,1.0,27,2027-06-11,A
216,大红袍红汤火锅底料150g,150g/袋,包,9.0,大红袍,0.8,29,2026-10-04,A
217,珍亮分控型牙刷12支/组*12组,12支/组*12组,支,5.0,立白,0.8,31,2027-02-27,H
218,立白深海矿物盐精华洗洁精1.1kg,1.1千克,桶,15.6,立白,1.0,44,2026-12-07,G
219,立白茶洁洗洁精,1.1kg,瓶,17.5,立白,1.0,38,2027-07-19,H
220,立白生姜洗洁精1.5千克,1.5千克,桶,16.0,立白,1.0,48,2027-08-15,F
221,立白盐洁洗洁精,460g,瓶,6.5,立白,1.0,39,2027-03-03,F
222,立白天然茶洁洗洁精460克,460克,瓶,6.5,liby立白,1.0,37,2027-07-07,A
223,立白天然橙结洗洁精460克,460克,瓶,6.5,liby立白,1.0,42,2027-01-14,A
224,立白超威除菌洁厕精500g,500g,瓶,5.0,立白,1.0,29,2026-09-09,C
225,黄酒,500ml*12,瓶,6.8,瓜渚湖,1.0,25,2027-01-27,F
226,可口可乐荣誉出品 雪碧500ml单瓶装,500mL,瓶,2.4,雪碧,1.0,33,2026-11-08,G
227,立白橙洁洗洁精1.1kg,1.1kg,桶,17.5,立白,1.0,27,2027-02-10,B
228,立白天然柔护皂粉1.136kg,1.136kg,包,11.9,立白,1.0,30,2027-01-31,E
229,立白全效护理洗衣液,500ml,袋,10.0,立白,1.0,40,2027-06-10,D
230,1000g立白全效护理洗衣液,1l/1l,桶,22.6,立白,1.0,49,2026-11-12,A
231,立白全效护理洗衣液,2kg,袋,35.0,立白,1.0,38,2027-03-01,G
232,立白植物洗衣皂清新花香232g,232g,块,4.8,立白,1.0,22,2027-06-08,D
233,立白椰油精华增白皂,232g,块,4.5,立白,1.0,46,2027-01-14,E
234,立白彩衣漂渍液600克,600克,桶,12.5,立白,1.0,45,2027-06-03,D
235,立白去渍霸天然植物皂粉680g,680g,包,10.5,立白,1.0,35,2027-03-11,F
236,立白去渍组合皂232g*2,232gx2/232gx2,块,11.0,立白,1.0,28,2026-11-22,D
237,无磷型洗衣粉,1.68千克,袋,18.5,Liby立白,0.9,36,2027-02-08,E
238,立白超洁清新无磷洗衣粉1.068kg,1.068kg,袋,10.5,立白,0.8,40,2027-05-22,B
239,立白超洁清新无磷洗衣粉2.118kg,2.118kg,袋,21.0,立白,1.0,45,2026-09-10,G
240,立白冷水速效无磷洗衣粉1.03kg,1.03kg,袋,10.8,立白,1.0,48,2026-09-18,A
241,立白冷水速效无磷洗衣粉1.588kg,1.588kg,包,18.0,立白,1.0,27,2027-06-05,F
242,立白易漂洗无磷洗衣粉1.03kg,1.03kg,袋,10.8,立白,1.0,45,2027-02-07,D
243,立白生姜洗洁精500克,500克,瓶,5.0,liby立白,1.0,48,2027-01-04,F
244,黄果树(红）,20支装,盒,50.0,黄果树,0.9,23,2027-09-26,H
245,双喜,20支,盒,7.0,红双喜,0.9,37,2027-03-02,H
246,哈德门（精品）,20支/盒,盒,4.0,哈德门,0.9,22,2027-09-30,C
247,散花(软蓝),20支,盒,2.5,散花,1.0,31,2027-08-28,D
248,黄金叶(黄金眼),20支,盒,13.0,黄金叶,1.0,32,2026-11-23,C
249,红旗渠,20支,盒,5.0,红旗渠,1.0,34,2027-05-08,B
250,黄金叶(硬帝豪),20支,盒,10.0,黄金叶,1.0,29,2027-07-09,C
251,黄金叶,包,盒,10.0,黄金葉,1.0,22,2027-08-14,A
252,黄金叶(硬红旗渠),20支,盒,10.0,黄金叶,1.0,29,2026-11-20,A
253,芙蓉王(硬)香烟,20支,盒,24.0,芙蓉王,1.0,32,2027-09-18,G
254,红塔山,20根,盒,7.5,红塔山,1.0,22,2027-05-24,B
255,梦幻香皂,135g,块,4.2,mely,1.0,23,2027-06-02,F
256,凯达空气清新剂(茉莉花香型),320ml,瓶,12.5,凯达,1.0,34,2027-06-24,E
257,凯达空气清新剂(桂花香型),320ml,瓶,13.2,凯达,1.0,21,2027-05-20,D
258,云南白药留兰香型牙膏,90克,盒,16.5,云南白药,0.8,36,2026-11-30,F
259,浪奇木瓜白肤香皂(不分~不分)3123_120克,120g,块,5.9,浪奇,0.9,34,2026-11-21,E
260,雕牌透明皂,218g*2,块,8.0,雕牌,1.0,32,2027-01-05,F
261,雕牌超效洗洁精,1.5kg,桶,10.0,雕牌,1.0,21,2027-09-15,D
262,纳爱斯香皂150克,包装时净含量：150克,块,6.0,纳爱斯,0.9,47,2027-01-23,D
263,纳爱斯珍珠香皂,125g,块,4.5,纳爱斯,1.0,34,2026-09-25,E
264,纳爱斯珍珠香皂,125g,快,4.5,纳爱斯,1.0,41,2027-06-10,F
265,纳爱斯珍珠香皂,125g,块,3.4,纳爱斯,1.0,24,2026-10-26,H
266,三笑适齿细丝毛,公称丝径：0.20mm,支,1.8,三笑,1.0,45,2027-03-17,C
267,阿尔卑斯特浓奶糖条形,条形,个,2.0,阿尔卑斯,1.0,23,2027-03-22,B
268,爱家固体清新剂（香柠）,瓶,个,3.6,爱家,1.0,20,2027-04-30,D
269,庄臣爱家固体清香剂,70克,盒,3.6,庄臣,1.0,27,2026-12-22,F
270,250克枚注心草莓派,250克,袋,29.0,达利园,1.0,24,2027-01-18,E
271,20克可比克烧烤味薯片,20g,包,1.0,20克可比克烧烤味薯片,1.0,41,2027-06-12,C
272,可比克香辣味薯片20克,20克,袋,2.0,可比克,0.8,20,2027-07-26,E
273,20克可比克原味薯片,20g,袋,2.0,20克可比克原味薯片,1.0,49,2027-06-06,E
274,45克可比克蕃茄味薯片,45g,桶,3.0,可比克,1.0,42,2027-02-09,B
275,可比克香辣味薯片,45克,桶,3.5,可比克,1.0,35,2027-06-21,B
